;title_uk;brand_uk;model_uk;price_uk (gbp);year_uk;kilometrage_uk;fuelType_uk;bodyType_uk;gearBox_uk;link_uk;brand_fr;model_fr;price_fr (eur);year_fr;kilometrage_fr;fuelType_fr;gearBox_fr;link_fr
0;Saab 900 1992 900i 16v 2.0;Saab;900 1992;3400.0;1992;104607.1;;Saloon;Petrol;https://www.autotrader.co.uk/classified/advert/201906159038545;Saab;900 cabriolet;9900.0;1992;132000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/saab-900-cabriolet/i-16-cabriolet-2.0-s/OK2Z0CES.html
1;Saab 900 1992 900i 16v 2.0;Saab;900 1992;3400.0;1992;104607.1;;Saloon;Petrol;https://www.autotrader.co.uk/classified/advert/201906159038545;Saab;900;7500.0;1992;138000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/saab-900/saab-900-t16-bp-138000km/W6K03481.html
2;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;44900.0;2012;49000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-faible-kilometrage/BELNX1PP.html
3;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;57900.0;2015;60000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/2-3.0-td-300/46OU1NHT.html
4;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
5;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
6;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;37000.0;2012;120000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-3.0-v6-etat-neuf-carnet-com.../MGEV3PIM.html
7;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42900.0;2011;60500;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-250-diesel/YDU4TJ7S.html
8;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42490.0;2013;104242;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-v6-416-e-hybrid-tiptronic8-s-2013-104-242-km-hybride-boite-automatique/5VBXHJB4.html
9;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;39995.0;2012;96172;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-d-v6-leder-gps-pdk-xenon/S8PLYC84.html
10;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;60900.0;2014;41000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/2-v6-3.0-416-s-e-hybrid/DCIDFRMZ.html
11;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;39000.0;2013;98000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/v6-3.0-250-diesel/W66BSHF1.html
12;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;58000.0;2014;52000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-ph-2-970-s-3.0-d-v6-24v-tiptronic-s-300-cv/OKB16IYS.html
13;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;67900.0;2014;56400;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/2-v6-3.0-416-s-e-hybrid/DCD3WB5Z.html
14;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;39500.0;2012;99000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-d-v6-platinum-edition-dpf-tiptronic/FEZZKIKJ.html
15;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42000.0;2013;88000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-platinium-edition-v6-3.0-250ch/JJX0D6EF.html
16;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;39490.0;2012;93000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-porche-panamera-3.0-diesel/FE5L1G0J.html
17;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42490.0;2013;104242;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s//JJAFWEEF.html
18;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;43000.0;2013;76082;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-td-250-platinum-edition/3KAXHPY1.html
19;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;35990.0;2011;103000;DIESEL;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-970-3.0-diesel/H3CGBWAC.html
20;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;39900.0;2015;89800;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/2-3.0-td-300-edition/ZC46UX44.html
21;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;33990.0;2011;116900;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-d-250-tiptronic-s/VVG6GKW8.html
22;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;49000.0;2013;75000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-380-ch-s-hybride/H313LS2C.html
23;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;48500.0;2014;110000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/2-v6-3.0-416-s-e-hybrid/T5AHTG32.html
24;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;48500.0;2014;111000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-2-v6-3.0-416-s-e-hybrid/ZC4RPK04.html
25;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;35000.0;2012;94000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/panamera-3litres-diesel/8UK8XMK4.html
26;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;42990.0;2014;90000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/2-3.0-td-300/DCI4IT4Z.html
27;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;38900.0;2014;77000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/v6-3.0-250-diesel/OKP2PITS.html
28;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;52690.0;2014;65000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-3.0-td-300-edition/LD1FJI88.html
29;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
30;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;44900.0;2012;49000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-faible-kilometrage/BELNX1PP.html
31;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;57900.0;2015;60000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/2-3.0-td-300/46OU1NHT.html
32;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
33;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
34;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;37000.0;2012;120000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-3.0-v6-etat-neuf-carnet-com.../MGEV3PIM.html
35;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;42900.0;2011;60500;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-250-diesel/YDU4TJ7S.html
36;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;42490.0;2013;104242;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-v6-416-e-hybrid-tiptronic8-s-2013-104-242-km-hybride-boite-automatique/5VBXHJB4.html
37;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;39995.0;2012;96172;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-d-v6-leder-gps-pdk-xenon/S8PLYC84.html
38;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;60900.0;2014;41000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/2-v6-3.0-416-s-e-hybrid/DCIDFRMZ.html
39;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;39000.0;2013;98000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/v6-3.0-250-diesel/W66BSHF1.html
40;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;58000.0;2014;52000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-ph-2-970-s-3.0-d-v6-24v-tiptronic-s-300-cv/OKB16IYS.html
41;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;67900.0;2014;56400;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/2-v6-3.0-416-s-e-hybrid/DCD3WB5Z.html
42;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;39500.0;2012;99000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-d-v6-platinum-edition-dpf-tiptronic/FEZZKIKJ.html
43;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;42000.0;2013;88000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-platinium-edition-v6-3.0-250ch/JJX0D6EF.html
